Etablissement;Code_Guichet;Nom_Guichet;Rue;Complement_adresse;Ville;Code_Postal;Horaires;Infos_Complementaires;Raison_Sociale;Url_site;coordonnees_gps;ouverture_lundi;ouverture_mardi;ouverture_mercredi;ouverture_jeudi;ouverture_vendredi;ouverture_samedi;ouverture_dimanche;ouverture_lundi_matin;fermeture_lundi_matin;ouverture_lundi_apresmidi;fermeture_lundi_apresmidi;ouverture_mardi_matin;fermeture_mardi_matin;ouverture_mardi_apresmidi;fermeture_mardi_apresmidi;ouverture_mercredi_matin;fermeture_mercredi_matin;ouverture_mercredi_apresmidi;fermeture_mercredi_apresmidi;ouverture_jeudi_matin;fermeture_jeudi_matin;ouverture_jeudi_apresmidi;fermeture_jeudi_apresmidi;ouverture_vendredi_matin;fermeture_vendredi_matin;ouverture_vendredi_apresmidi;fermeture_vendredi_apresmidi;ouverture_samedi_matin;fermeture_samedi_matin;ouverture_samedi_apresmidi;fermeture_samedi_apresmidi;ouverture_dimanche_matin;fermeture_dimanche_matin;ouverture_dimanche_apresmidi;fermeture_dimanche_apresmidi
17807;00481;MARMANDE CENTRE AFFAIRES;64, rue Charles de Gaulle;;MARMANDE;47200;Lu0830121513301735Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830123000000000Sa0000000000000000Di0000000000000000;;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;44.5008,0.16851;Lu0830121513301735;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830123000000000;Sa0000000000000000;Di0000000000000000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1230;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
17807;00363;BLAGNAC CENTRE AFFAIRES;Pl du Corps-Franc Pommies;;BLAGNAC;31700;Lu0830121513301735Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830123000000000Sa0000000000000000Di0000000000000000;;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.62912,1.3941;Lu0830121513301735;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830123000000000;Sa0000000000000000;Di0000000000000000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1230;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
10107;00124;PARIS VICTOR HUGO;94, ave Victor Hugo;;PARIS 16;75016;Lu0900130014001800Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001700Sa0000000000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.869067,2.283598;Lu0900130014001800;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001700;Sa0000000000000000;Di0000000000000000;0900;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000;0000;0000;0000;0000
10107;00127;PARIS SEBASTOPOL;56, bd Sébastopol;;PARIS 03;75003;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;48.863077,2.350995;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;00028;VANNES MARCHAIS;9, pl Maurice Marchais;;VANNES;56000;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.658097,-2.760417;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
16607;00369;MONTPELLIER PATRIMONIALE METROPOLE;20, bd des Arceaux;;MONTPELLIER;34000;Lu0900133014451845Ma0900133014451845Me0900133014451845Je0900133015151845Ve0900133000000000Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.61193,3.864795;Lu0900133014451845;Ma0900133014451845;Me0900133014451845;Je0900133015151845;Ve0900133000000000;Sa0000000000000000;Di0000000000000000;0900;1330;1445;1845;0900;1330;1445;1845;0900;1330;1445;1845;0900;1330;1515;1845;0900;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
16607;00370;PERPIGNAN CAMPUS MOULIN A VENT;4, ave Paul Alduy;;PERPIGNAN;66100;Lu0000000000000000Ma0900133014301800Me0900133014301800Je0900133016001800Ve0900133014301800Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous :  - les jeudis après-midi  - le samedis matin  - tous les jours, de 12h00 à 13h30;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;42.686506,2.901585;Lu0000000000000000;Ma0900133014301800;Me0900133014301800;Je0900133016001800;Ve0900133014301800;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0900;1330;1430;1800;0900;1330;1430;1800;0900;1330;1600;1800;0900;1330;1430;1800;0830;1245;0000;0000;0000;0000;0000;0000
10107;00131;VILLERS COTTERETS;3, pl du Dr Mouflier;;VILLERS COTTERETS;02600;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;ouverture uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;49.254236,3.09055;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00132;LA POSSESSION;Rue Leconte Delisle;;LA POSSESSION;97419;Lu0000000000000000Ma0800123013301700Me0800123013301700Je0900123013301700Ve0800123013301700Sa0800130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;-20.931592,55.335868;Lu0000000000000000;Ma0800123013301700;Me0800123013301700;Je0900123013301700;Ve0800123013301700;Sa0800130000000000;Di0000000000000000;0000;0000;0000;0000;0800;1230;1330;1700;0800;1230;1330;1700;0900;1230;1330;1700;0800;1230;1330;1700;0800;1300;0000;0000;0000;0000;0000;0000
13807;00035;NANTES BELLEVUE;31, rue Romain Rolland;;NANTES;44100;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123015301800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.207499,-1.611984;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123015301800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1530;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
