Numéro de série;Code_Guichet;Marque;Date d'installation;Type d'implantation;Modèle
41.841.740*;222;NCR;2009-12-21T01:00:00+01:00;Externe;NCR 6625
41.841.741*;129;NCR;2010-03-25T01:00:00+01:00;Hors site;NCR 6625
41.841.752;682;NCR;2015-07-01T02:00:00+02:00;Externe;NCR 6625
41.841.753;317;NCR;2010-02-10T01:00:00+01:00;Externe;NCR 6625
41.841.754;123;NCR;2017-06-14T18:50:05+02:00;Externe;NCR 6625
41.841.756;217;NCR;2010-05-25T02:00:00+02:00;Externe;NCR 6625
41.841.758*;375;NCR;2010-04-22T02:00:00+02:00;Hors site;NCR 6625
41.841.759;668;NCR;2018-07-15T10:19:37+02:00;Externe;NCR 6625
41.841.760;327;NCR;2010-11-16T01:00:00+01:00;Externe;NCR 6625
41.841.761;609;NCR;2010-06-10T02:00:00+02:00;Externe;NCR 6625
41.843.624;154;NCR;2009-06-30T02:00:00+02:00;Centre commercial;NCR 5877
41.843.625;759;NCR;2009-06-30T02:00:00+02:00;Centre commercial;NCR 5877
41.843.957*;233;NCR;2008-07-28T02:00:00+02:00;LSB;NCR 5877
41.843.960;246;NCR;2008-10-23T02:00:00+02:00;LSB;NCR 5877
41.843.963*;738;NCR;2008-11-07T01:00:00+01:00;LSB;NCR 5877
41.849.117;399;NCR;2008-10-31T01:00:00+01:00;Externe;NCR 5887
41.849.119;152;NCR;2008-11-05T01:00:00+01:00;Externe;NCR 5887
41.849.121;287;NCR;2008-11-06T01:00:00+01:00;Externe;NCR 5887
41.849.125;240;NCR;2008-09-16T02:00:00+02:00;Externe;NCR 5887
41.849.268;220;NCR;2009-01-19T01:00:00+01:00;Externe;NCR 5887
41.849.291;178;NCR;2009-08-12T02:00:00+02:00;Centre commercial;NCR 5887
41.849.292;131;NCR;2008-11-13T01:00:00+01:00;Externe;NCR 5887
41.849.293;182;NCR;2008-11-18T01:00:00+01:00;Externe;NCR 5887
41.849.294;309;NCR;2008-10-22T02:00:00+02:00;Externe;NCR 5887
41.849.296;174;NCR;2009-01-29T01:00:00+01:00;Externe;NCR 5887
41.849.299;164;NCR;2008-08-21T02:00:00+02:00;Hors site;NCR 5887
41.959.042;258;NCR;2009-05-06T02:00:00+02:00;Hors site;NCR 5877
42.604.536;271;NCR;2009-05-06T02:00:00+02:00;LSB;NCR 5877
42.616.946;268;NCR;2009-06-15T02:00:00+02:00;LSB;NCR 5877
42.881.284;240;NCR;2009-03-18T01:00:00+01:00;Externe;NCR 5887
42.888.883;463;NCR;2009-09-24T02:00:00+02:00;Externe;NCR 6626
42.893.698;615;NCR;2009-09-24T02:00:00+02:00;LSB;NCR 6634
42.897.346;127;NCR;2010-10-28T02:00:00+02:00;Interne;NCR 6626
42.898.874;712;NCR;2010-06-16T02:00:00+02:00;Interne;NCR 6634
42.899.288;255;NCR;2010-02-08T01:00:00+01:00;Externe;NCR 6634
42.899.289;491;NCR;2010-03-02T01:00:00+01:00;Interne;NCR 6634
42.899.290;218;NCR;2010-02-03T01:00:00+01:00;Interne;NCR 6634
42.899.300;348;NCR;2010-10-01T02:00:00+02:00;LSB;NCR 6634
42.899.302;755;NCR;2010-12-17T01:00:00+01:00;Interne;NCR 6634
43.959.438;129;NCR;2009-12-07T01:00:00+01:00;Hors site client;NCR 6622
43.964.721;218;NCR;2016-08-03T02:00:00+02:00;LSB;NCR 6625
43.964.722;355;NCR;2010-10-01T02:00:00+02:00;Externe;NCR 6625
43.966.227;492;NCR;2010-06-18T02:00:00+02:00;Hors site;NCR 6626
43.966.686;225;NCR;2010-11-15T01:00:00+01:00;Centre commercial;NCR 6626
43.966.790;726;NCR;2010-08-25T02:00:00+02:00;Interne;NCR 6626
43.966.791;389;NCR;2010-08-25T02:00:00+02:00;Interne;NCR 6626
44.013.726;136;NCR;2010-11-23T01:00:00+01:00;Externe;NCR 6625
44.013.727;732;NCR;2010-12-08T01:00:00+01:00;Externe;NCR 6625
44.013.728;213;NCR;2010-12-13T01:00:00+01:00;Externe;NCR 6625
44.013.729;332;NCR;2010-10-20T02:00:00+02:00;Externe;NCR 6625
44.013.730;152;NCR;2010-12-15T01:00:00+01:00;Externe;NCR 6625
44.013.731*;126;NCR;2010-12-01T01:00:00+01:00;Externe;NCR 6625
44.013.734;129;NCR;2010-11-04T01:00:00+01:00;Externe;NCR 6625
44.013.735;178;NCR;2010-10-22T02:00:00+02:00;Externe;NCR 6625
44.013.736;641;NCR;2010-11-23T01:00:00+01:00;Externe;NCR 6625
44.013.820;268;NCR;2011-02-01T01:00:00+01:00;Externe;NCR 6625
44.013.821;839;NCR;2010-12-06T01:00:00+01:00;Externe;NCR 6625
44.013.822;274;NCR;2011-05-20T02:00:00+02:00;Externe;NCR 6625
44.013.906;476;NCR;2010-11-23T01:00:00+01:00;Externe;NCR 6625
44.013.908;609;NCR;2010-12-02T01:00:00+01:00;Externe;NCR 6625
44.013.909;343;NCR;2011-10-18T02:00:00+02:00;Hors site;NCR 6625
44.013.910;358;NCR;2010-11-25T01:00:00+01:00;Externe;NCR 6625
44.013.911;306;NCR;2010-11-12T01:00:00+01:00;Hors site;NCR 6625
44.014.414;343;NCR;2011-04-04T02:00:00+02:00;Interne;NCR 6625
44.014.416;307;NCR;2010-11-24T01:00:00+01:00;Externe;NCR 6625
44.016.768;222;NCR;2010-10-21T02:00:00+02:00;LSB;NCR 6634
44.016.769;476;NCR;2010-12-15T01:00:00+01:00;LSB;NCR 6634
44.016.770;226;NCR;2010-10-25T02:00:00+02:00;LSB;NCR 6634
44.016.771;102;NCR;2011-02-08T01:00:00+01:00;Interne;NCR 6634
44.016.773;109;NCR;2011-05-09T02:00:00+02:00;Interne;NCR 6634
44.016.774;801;NCR;2010-11-18T01:00:00+01:00;Interne;NCR 6634
44.018.097;370;NCR;2011-03-08T01:00:00+01:00;Externe;NCR 6625
44.277.312;494;NCR;2011-03-08T01:00:00+01:00;Externe;NCR 6626
44.539.698;344;NCR;2017-07-18T18:28:11+02:00;Externe;NCR 6634
44.540.106;659;NCR;2011-02-18T01:00:00+01:00;LSB;NCR 6634
44.540.107;229;NCR;2011-03-08T01:00:00+01:00;LSB;NCR 6634
44.540.108;126;NCR;2011-05-16T02:00:00+02:00;LSB;NCR 6634
44.542.673;339;NCR;2011-05-20T02:00:00+02:00;LSB;NCR 6634
44.546.606;360;NCR;2011-04-14T02:00:00+02:00;Externe;NCR 6625
44.546.607;168;NCR;2010-12-15T01:00:00+01:00;Externe;NCR 6625
44.546.608*;164;NCR;2011-02-10T01:00:00+01:00;Externe;NCR 6625
44.546.609;341;NCR;2011-05-16T02:00:00+02:00;Externe;NCR 6625
44.547.915;343;NCR;2011-11-25T01:00:00+01:00;Interne;NCR 6625
44.548.145;394;NCR;2011-11-09T01:00:00+01:00;Externe;NCR 6625
44.548.179;281;NCR;2011-12-07T01:00:00+01:00;Externe;NCR 6625
44.548.180;205;NCR;2012-04-16T02:00:00+02:00;Externe;NCR 6625
44.548.181;360;NCR;2012-06-27T02:00:00+02:00;Externe;NCR 6625
44.548.182;657;NCR;2012-10-31T01:00:00+01:00;Externe;NCR 6625
44.548.185;702;NCR;2013-04-19T02:00:00+02:00;Externe;NCR 6625
44.548.186*;224;NCR;2013-03-22T01:00:00+01:00;Externe;NCR 6625
44.548.187*;224;NCR;2013-03-22T01:00:00+01:00;Externe;NCR 6625
44.548.188;169;NCR;2013-03-14T01:00:00+01:00;Externe;NCR 6625
44.548.189;252;NCR;2013-08-02T02:00:00+02:00;Externe;NCR 6625
44.548.190;474;NCR;2014-03-03T01:00:00+01:00;Externe;NCR 6625
44.548.191;279;NCR;2013-12-02T01:00:00+01:00;Externe;NCR 6625
44.548.319;211;NCR;2014-07-11T02:00:00+02:00;Externe;NCR 6625
44.548.320;467;NCR;2013-10-30T01:00:00+01:00;Externe;NCR 6625
44.548.912*;214;NCR;2017-06-27T18:06:10+02:00;Externe;NCR 6625
44.548.915;356;NCR;2011-11-15T01:00:00+01:00;Externe;NCR 6625
44.548.916;474;NCR;2011-11-17T01:00:00+01:00;Externe;NCR 6625
44.548.917;317;NCR;2012-06-18T02:00:00+02:00;Externe;NCR 6625
44.548.918;365;NCR;2011-12-08T01:00:00+01:00;Externe;NCR 6625
44.548.919;222;NCR;2012-05-18T02:00:00+02:00;Externe;NCR 6625
44.548.920;164;NCR;2011-11-22T01:00:00+01:00;Externe;NCR 6625
44.549.348;616;NCR;2014-11-18T01:00:00+01:00;Externe;NCR 6625
44.549.349;115;NCR;2011-10-26T02:00:00+02:00;LSB;NCR 6625
44.550.706;274;NCR;2014-12-05T01:00:00+01:00;Hors site;NCR 6626
44.550.756;399;NCR;2011-11-09T01:00:00+01:00;LSB;NCR 6626
44.550.856;282;NCR;2011-12-07T01:00:00+01:00;LSB;NCR 6626
44.550.857*;369;NCR;2011-11-21T01:00:00+01:00;LSB;NCR 6626
44.550.858;752;NCR;2012-06-04T02:00:00+02:00;LSB;NCR 6626
